_op,StudentTeachingGroupEnrolmentLocalId,Status,Student.LocalId,Student.NationalStudentNumber,Student.YearLevel,Organisation.RefId,TeachingGroup.LocalId,StartDate,RecordAudit.CreatedDateTime,RecordAudit.LastUpdatedDateTime
upsert,2020_8005_JR_ST5000187,A,ST5000187,9005000187,2,8005,2020_8005_JR,2020-02-14,2020-05-27T12:45:00+1200,2020-05-27T12:45:00+1200
upsert,2020_8005_JR_ST5100195,A,ST5100195,9005100195,2,8005,2020_8005_JR,2020-02-15,2020-05-27T12:45:15+1200,2020-05-27T12:45:15+1200
upsert,2020_8005_JR_ST5100205,A,ST5100205,9005100205,2,8005,2020_8005_JR,2020-02-16,2020-05-27T12:45:30+1200,2020-05-27T12:45:30+1200
upsert,2020_8005_JR_ST5000212,A,ST5000212,9005000212,1,8005,2020_8005_JR,2020-02-17,2020-05-27T12:45:45+1200,2020-05-27T12:45:45+1200
upsert,2020_8005_JR_ST5000225,A,ST5000225,9005000225,1,8005,2020_8005_JR,2020-02-18,2020-05-27T12:46:00+1200,2020-05-27T12:46:00+1200
upsert,2020_8005_JR_ST5000238,A,ST5000238,9005000238,1,8005,2020_8005_JR,2020-02-19,2020-05-27T12:46:14+1200,2020-05-27T12:46:14+1200
upsert,2020_8005_JR_ST5000240,A,ST5000240,9005000240,1,8005,2020_8005_JR,2020-02-20,2020-05-27T12:46:30+1200,2020-05-27T12:46:30+1200
upsert,2020_8005_HR7_HR8_ST5000253,A,ST5000253,9005000253,8,8005,2020_8005_HR7_HR8,2020-02-21,2020-05-27T12:46:45+1200,2020-05-27T12:46:45+1200
upsert,2020_8005_HR7_HR8_ST5000266,A,ST5000266,9005000266,8,8005,2020_8005_HR7_HR8,2020-02-22,2020-05-27T12:47:00+1200,2020-05-27T12:47:00+1200
upsert,2020_8005_HR7_HR8_ST5000279,A,ST5000279,9005000279,7,8005,2020_8005_HR7_HR8,2020-02-23,2020-05-27T12:47:15+1200,2020-05-27T12:47:15+1200
upsert,2020_8005_HR7_HR8_ST5000281,A,ST5000281,9005000281,7,8005,2020_8005_HR7_HR8,2020-02-24,2020-05-27T12:47:30+1200,2020-05-27T12:47:30+1200
upsert,2020_8005_HR7_HR8_ST5000294,A,ST5000294,9005000294,7,8005,2020_8005_HR7_HR8,2020-02-25,2020-05-27T12:47:45+1200,2020-05-27T12:47:45+1200
upsert,2020_8005_HR7_HR8_ST5000304,A,ST5000304,9005000304,7,8005,2020_8005_HR7_HR8,2020-02-26,2020-05-27T12:48:00+1200,2020-05-27T12:48:00+1200
upsert,2020_8005_HR6_ST5000317,A,ST5000317,9005000317,6,8005,2020_8005_HR6,2020-02-27,2020-05-27T12:48:15+1200,2020-05-27T12:48:15+1200
upsert,2020_8005_HR6_ST5100325,A,ST5100325,9005100325,6,8005,2020_8005_HR6,2020-02-28,2020-05-27T12:48:30+1200,2020-05-27T12:48:30+1200
upsert,2020_8005_HR6_ST5000332,A,ST5000332,9005000332,6,8005,2020_8005_HR6,2020-02-29,2020-05-27T12:48:44+1200,2020-05-27T12:48:44+1200
upsert,2020_8005_HR6_ST5000345,A,ST5000345,9005000345,6,8005,2020_8005_HR6,2020-03-01,2020-05-27T12:49:00+1200,2020-05-27T12:49:00+1200
upsert,2020_8005_HR5_ST5000358,A,ST5000358,9005000358,5,8005,2020_8005_HR5,2020-03-02,2020-05-27T12:49:15+1200,2020-05-27T12:49:15+1200
upsert,2020_8005_HR5_ST5000360,A,ST5000360,9005000360,5,8005,2020_8005_HR5,2020-03-03,2020-05-27T12:49:30+1200,2020-05-27T12:49:30+1200
upsert,2020_8005_HR5_ST5000373,A,ST5000373,9005000373,5,8005,2020_8005_HR5,2020-03-04,2020-05-27T12:49:45+1200,2020-05-27T12:49:45+1200
upsert,2020_8005_HR5_ST5000386,A,ST5000386,9005000386,5,8005,2020_8005_HR5,2020-03-05,2020-05-27T12:50:00+1200,2020-05-27T12:50:00+1200
upsert,2020_8005_HR5_ST5000399,A,ST5000399,9005000399,5,8005,2020_8005_HR5,2020-03-06,2020-05-27T12:50:14+1200,2020-05-27T12:50:14+1200
upsert,2020_8005_HR5_ST5000409,A,ST5000409,9005000409,5,8005,2020_8005_HR5,2020-03-07,2020-05-27T12:50:30+1200,2020-05-27T12:50:30+1200
upsert,2020_8005_HR5_ST5000411,A,ST5000411,9005000411,5,8005,2020_8005_HR5,2020-03-08,2020-05-27T12:50:45+1200,2020-05-27T12:50:45+1200
upsert,2020_8005_HR4_ST5000424,A,ST5000424,9005000424,4,8005,2020_8005_HR4,2020-03-09,2020-05-27T12:51:00+1200,2020-05-27T12:51:00+1200
upsert,2020_8005_HR4_ST5000437,A,ST5000437,9005000437,4,8005,2020_8005_HR4,2020-03-10,2020-05-27T12:51:15+1200,2020-05-27T12:51:15+1200
upsert,2020_8005_HR4_ST5100445,A,ST5100445,9005100445,4,8005,2020_8005_HR4,2020-03-11,2020-05-27T12:51:30+1200,2020-05-27T12:51:30+1200
upsert,2020_8005_HR3_ST5000452,A,ST5000452,9005000452,3,8005,2020_8005_HR3,2020-03-12,2020-05-27T12:51:45+1200,2020-05-27T12:51:45+1200
upsert,2020_8005_HR3_ST5000465,A,ST5000465,9005000465,3,8005,2020_8005_HR3,2020-03-13,2020-05-27T12:52:00+1200,2020-05-27T12:52:00+1200
upsert,2020_8005_JR_ST5000478,A,ST5000478,9005000478,2,8005,2020_8005_JR,2020-03-14,2020-05-27T12:52:15+1200,2020-05-27T12:52:15+1200
upsert,2020_8005_JR_ST5000480,A,ST5000480,9005000480,2,8005,2020_8005_JR,2020-03-15,2020-05-27T12:52:30+1200,2020-05-27T12:52:30+1200
upsert,2020_8005_JR_ST5000493,A,ST5000493,9005000493,1,8005,2020_8005_JR,2020-03-16,2020-05-27T12:52:44+1200,2020-05-27T12:52:44+1200
upsert,2020_8005_HR7_HR8_ST5000503,A,ST5000503,9005000503,8,8005,2020_8005_HR7_HR8,2020-03-17,2020-05-27T12:53:00+1200,2020-05-27T12:53:00+1200
upsert,2020_8005_HR7_HR8_ST5000516,A,ST5000516,9005000516,8,8005,2020_8005_HR7_HR8,2020-03-18,2020-05-27T12:53:15+1200,2020-05-27T12:53:15+1200
upsert,2020_8005_HR7_HR8_ST5000529,A,ST5000529,9005000529,8,8005,2020_8005_HR7_HR8,2020-03-19,2020-05-27T12:53:30+1200,2020-05-27T12:53:30+1200
upsert,2020_8005_HR7_HR8_ST5000531,A,ST5000531,9005000531,7,8005,2020_8005_HR7_HR8,2020-03-20,2020-05-27T12:53:45+1200,2020-05-27T12:53:45+1200
upsert,2020_8005_HR7_HR8_ST5000544,A,ST5000544,9005000544,7,8005,2020_8005_HR7_HR8,2020-03-21,2020-05-27T12:54:00+1200,2020-05-27T12:54:00+1200
upsert,2020_8005_HR7_HR8_ST5000557,A,ST5000557,9005000557,7,8005,2020_8005_HR7_HR8,2020-03-22,2020-05-27T12:54:15+1200,2020-05-27T12:54:15+1200
upsert,2020_8005_HR6_ST5100565,A,ST5100565,9005100565,6,8005,2020_8005_HR6,2020-03-23,2020-05-27T12:54:30+1200,2020-05-27T12:54:30+1200
upsert,2020_8005_HR6_ST5000572,A,ST5000572,9005000572,6,8005,2020_8005_HR6,2020-03-24,2020-05-27T12:54:45+1200,2020-05-27T12:54:45+1200
upsert,2020_8005_HR6_ST5000585,A,ST5000585,9005000585,6,8005,2020_8005_HR6,2020-03-25,2020-05-27T12:55:00+1200,2020-05-27T12:55:00+1200
upsert,2020_8005_HR6_ST5000598,A,ST5000598,9005000598,6,8005,2020_8005_HR6,2020-03-26,2020-05-27T12:55:15+1200,2020-05-27T12:55:15+1200
upsert,2020_8005_HR5_ST5000608,A,ST5000608,9005000608,5,8005,2020_8005_HR5,2020-03-27,2020-05-27T12:55:30+1200,2020-05-27T12:55:30+1200
upsert,2020_8005_HR5_ST5000610,A,ST5000610,9005000610,5,8005,2020_8005_HR5,2020-03-28,2020-05-27T12:55:45+1200,2020-05-27T12:55:45+1200
upsert,2020_8005_HR5_ST5000623,A,ST5000623,9005000623,5,8005,2020_8005_HR5,2020-03-29,2020-05-27T12:56:00+1200,2020-05-27T12:56:00+1200
upsert,2020_8005_HR5_ST5000636,A,ST5000636,9005000636,5,8005,2020_8005_HR5,2020-03-30,2020-05-27T12:56:15+1200,2020-05-27T12:56:15+1200
upsert,2020_8005_HR4_ST5000649,A,ST5000649,9005000649,4,8005,2020_8005_HR4,2020-03-31,2020-05-27T12:56:30+1200,2020-05-27T12:56:30+1200
upsert,2020_8005_HR4_ST5000651,A,ST5000651,9005000651,4,8005,2020_8005_HR4,2020-04-01,2020-05-27T12:56:45+1200,2020-05-27T12:56:45+1200
upsert,2020_8005_HR4_ST5000664,A,ST5000664,9005000664,4,8005,2020_8005_HR4,2020-04-02,2020-05-27T12:57:00+1200,2020-05-27T12:57:00+1200
upsert,2020_8005_HR4_ST5000677,A,ST5000677,9005000677,4,8005,2020_8005_HR4,2020-04-03,2020-05-27T12:57:15+1200,2020-05-27T12:57:15+1200
upsert,2020_8005_HR3_ST5100685,A,ST5100685,9005100685,3,8005,2020_8005_HR3,2020-04-04,2020-05-27T12:57:29+1200,2020-05-27T12:57:29+1200
upsert,2020_8005_HR3_ST5000692,A,ST5000692,9005000692,3,8005,2020_8005_HR3,2020-04-05,2020-05-27T12:57:45+1200,2020-05-27T12:57:45+1200
upsert,2020_8005_JR_ST5000702,A,ST5000702,9005000702,2,8005,2020_8005_JR,2020-04-06,2020-05-27T12:58:00+1200,2020-05-27T12:58:00+1200
upsert,2020_8005_JR_ST5000715,A,ST5000715,9005000715,2,8005,2020_8005_JR,2020-04-07,2020-05-27T12:58:15+1200,2020-05-27T12:58:15+1200
upsert,2020_8005_JR_ST5000728,A,ST5000728,9005000728,1,8005,2020_8005_JR,2020-04-08,2020-05-27T12:58:30+1200,2020-05-27T12:58:30+1200
upsert,2020_8005_JR_ST5000730,A,ST5000730,9005000730,1,8005,2020_8005_JR,2020-04-09,2020-05-27T12:58:45+1200,2020-05-27T12:58:45+1200
upsert,2020_8005_JR_ST5000743,A,ST5000743,9005000743,1,8005,2020_8005_JR,2020-04-10,2020-05-27T12:59:00+1200,2020-05-27T12:59:00+1200
upsert,2020_8005_HR7_HR8_ST5000756,A,ST5000756,9005000756,8,8005,2020_8005_HR7_HR8,2020-04-11,2020-05-27T12:59:15+1200,2020-05-27T12:59:15+1200
upsert,2020_8005_HR7_HR8_ST5000769,A,ST5000769,9005000769,8,8005,2020_8005_HR7_HR8,2020-04-12,2020-05-27T12:59:30+1200,2020-05-27T12:59:30+1200
upsert,2020_8005_HR7_HR8_ST5000771,A,ST5000771,9005000771,7,8005,2020_8005_HR7_HR8,2020-04-13,2020-05-27T12:59:45+1200,2020-05-27T12:59:45+1200
upsert,2020_8005_HR7_HR8_ST5000784,A,ST5000784,9005000784,7,8005,2020_8005_HR7_HR8,2020-04-14,2020-05-27T12:59:59+1200,2020-05-27T12:59:59+1200
upsert,2020_8005_HR6_ST5000797,A,ST5000797,9005000797,6,8005,2020_8005_HR6,2020-04-15,2020-05-27T13:00:15+1200,2020-05-27T13:00:15+1200
upsert,2020_8005_HR6_ST5000807,A,ST5000807,9005000807,6,8005,2020_8005_HR6,2020-04-16,2020-05-27T13:00:30+1200,2020-05-27T13:00:30+1200
upsert,2020_8005_HR6_ST5100815,A,ST5100815,9005100815,6,8005,2020_8005_HR6,2020-04-17,2020-05-27T13:00:45+1200,2020-05-27T13:00:45+1200
upsert,2020_8005_HR5_ST5000822,A,ST5000822,9005000822,5,8005,2020_8005_HR5,2020-04-18,2020-05-27T13:01:00+1200,2020-05-27T13:01:00+1200
upsert,2020_8005_HR5_ST5000835,A,ST5000835,9005000835,5,8005,2020_8005_HR5,2020-04-19,2020-05-27T13:01:15+1200,2020-05-27T13:01:15+1200
upsert,2020_8005_HR4_ST5000848,A,ST5000848,9005000848,4,8005,2020_8005_HR4,2020-04-20,2020-05-27T13:01:29+1200,2020-05-27T13:01:29+1200
upsert,2020_8005_HR4_ST5000850,A,ST5000850,9005000850,4,8005,2020_8005_HR4,2020-04-21,2020-05-27T13:01:45+1200,2020-05-27T13:01:45+1200
upsert,2020_8005_HR4_ST5000863,A,ST5000863,9005000863,4,8005,2020_8005_HR4,2020-04-22,2020-05-27T13:02:00+1200,2020-05-27T13:02:00+1200
upsert,2020_8005_HR4_ST5000876,A,ST5000876,9005000876,4,8005,2020_8005_HR4,2020-04-23,2020-05-27T13:02:15+1200,2020-05-27T13:02:15+1200
upsert,2020_8005_HR4_ST5000889,A,ST5000889,9005000889,4,8005,2020_8005_HR4,2020-04-24,2020-05-27T13:02:30+1200,2020-05-27T13:02:30+1200
upsert,2020_8005_HR3_ST5000891,A,ST5000891,9005000891,3,8005,2020_8005_HR3,2020-04-25,2020-05-27T13:02:45+1200,2020-05-27T13:02:45+1200
upsert,2020_8005_HR3_ST5000901,A,ST5000901,9005000901,3,8005,2020_8005_HR3,2020-04-26,2020-05-27T13:03:00+1200,2020-05-27T13:03:00+1200
upsert,2020_8005_HR3_ST5000914,A,ST5000914,9005000914,3,8005,2020_8005_HR3,2020-04-27,2020-05-27T13:03:15+1200,2020-05-27T13:03:15+1200
upsert,2020_8005_JR_ST5000927,A,ST5000927,9005000927,2,8005,2020_8005_JR,2020-04-28,2020-05-27T13:03:30+1200,2020-05-27T13:03:30+1200
upsert,2020_8005_JR_ST5100935,A,ST5100935,9005100935,2,8005,2020_8005_JR,2020-04-29,2020-05-27T13:03:45+1200,2020-05-27T13:03:45+1200
upsert,2020_8005_JR_ST5000942,A,ST5000942,9005000942,2,8005,2020_8005_JR,2020-04-30,2020-05-27T13:03:59+1200,2020-05-27T13:03:59+1200
upsert,2020_8005_JR_ST5000955,A,ST5000955,9005000955,1,8005,2020_8005_JR,2020-05-01,2020-05-27T13:04:15+1200,2020-05-27T13:04:15+1200
upsert,2020_8005_JR_ST5000968,A,ST5000968,9005000968,1,8005,2020_8005_JR,2020-05-02,2020-05-27T13:04:30+1200,2020-05-27T13:04:30+1200
upsert,2020_8005_JR_ST5000970,A,ST5000970,9005000970,1,8005,2020_8005_JR,2020-05-03,2020-05-27T13:04:45+1200,2020-05-27T13:04:45+1200
upsert,2020_8005_JR_ST5000983,A,ST5000983,9005000983,1,8005,2020_8005_JR,2020-05-04,2020-05-27T13:05:00+1200,2020-05-27T13:05:00+1200
upsert,2020_8006_HR6_ST6000008,A,ST6000008,9006000008,6,8006,2020_8006_HR6,2020-05-05,2020-05-27T13:05:15+1200,2020-05-27T13:05:15+1200
upsert,2020_8006_HR6_ST6000010,A,ST6000010,9006000010,6,8006,2020_8006_HR6,2020-05-06,2020-05-27T13:05:30+1200,2020-05-27T13:05:30+1200
upsert,2020_8006_HR6_ST6000023,A,ST6000023,9006000023,6,8006,2020_8006_HR6,2020-05-07,2020-05-27T13:05:45+1200,2020-05-27T13:05:45+1200
upsert,2020_8006_HR4_HR5_ST6000036,A,ST6000036,9006000036,5,8006,2020_8006_HR4_HR5,2020-05-08,2020-05-27T13:06:00+1200,2020-05-27T13:06:00+1200
upsert,2020_8006_HR4_HR5_ST6000049,A,ST6000049,9006000049,5,8006,2020_8006_HR4_HR5,2020-05-09,2020-05-27T13:06:15+1200,2020-05-27T13:06:15+1200
upsert,2020_8006_HR4_HR5_ST6000051,A,ST6000051,9006000051,4,8006,2020_8006_HR4_HR5,2020-05-10,2020-05-27T13:06:30+1200,2020-05-27T13:06:30+1200
upsert,2020_8006_HR4_HR5_ST6000064,A,ST6000064,9006000064,4,8006,2020_8006_HR4_HR5,2020-05-11,2020-05-27T13:06:45+1200,2020-05-27T13:06:45+1200
upsert,2020_8006_HR4_HR5_ST6000077,A,ST6000077,9006000077,4,8006,2020_8006_HR4_HR5,2020-05-12,2020-05-27T13:07:00+1200,2020-05-27T13:07:00+1200
upsert,2020_8006_HR4_HR5_ST6100085,A,ST6100085,9006100085,4,8006,2020_8006_HR4_HR5,2020-05-13,2020-05-27T13:07:15+1200,2020-05-27T13:07:15+1200
upsert,2020_8006_HR4_HR5_ST6000092,A,ST6000092,9006000092,4,8006,2020_8006_HR4_HR5,2020-05-14,2020-05-27T13:07:30+1200,2020-05-27T13:07:30+1200
upsert,2020_8006_HR3_ST6000102,A,ST6000102,9006000102,3,8006,2020_8006_HR3,2020-05-15,2020-05-27T13:07:45+1200,2020-05-27T13:07:45+1200
upsert,2020_8006_HR3_ST6000115,A,ST6000115,9006000115,3,8006,2020_8006_HR3,2020-05-16,2020-05-27T13:08:00+1200,2020-05-27T13:08:00+1200
upsert,2020_8006_HR3_ST6000128,A,ST6000128,9006000128,3,8006,2020_8006_HR3,2020-05-17,2020-05-27T13:08:15+1200,2020-05-27T13:08:15+1200
upsert,2020_8006_HR3_ST6000130,A,ST6000130,9006000130,3,8006,2020_8006_HR3,2020-05-18,2020-05-27T13:08:30+1200,2020-05-27T13:08:30+1200
upsert,2020_8006_HR3_ST6000143,A,ST6000143,9006000143,3,8006,2020_8006_HR3,2020-05-19,2020-05-27T13:08:44+1200,2020-05-27T13:08:44+1200
upsert,2020_8006_HR3_ST6000156,A,ST6000156,9006000156,3,8006,2020_8006_HR3,2020-05-20,2020-05-27T13:09:00+1200,2020-05-27T13:09:00+1200
upsert,2020_8006_JR_ST6000169,A,ST6000169,9006000169,2,8006,2020_8006_JR,2020-05-21,2020-05-27T13:09:15+1200,2020-05-27T13:09:15+1200
upsert,2020_8006_JR_ST6000171,A,ST6000171,9006000171,2,8006,2020_8006_JR,2020-05-22,2020-05-27T13:09:30+1200,2020-05-27T13:09:30+1200
upsert,2020_8006_JR_ST6000184,A,ST6000184,9006000184,2,8006,2020_8006_JR,2020-05-23,2020-05-27T13:09:45+1200,2020-05-27T13:09:45+1200
upsert,2020_8006_JR_ST6000197,A,ST6000197,9006000197,2,8006,2020_8006_JR,2020-05-24,2020-05-27T13:10:00+1200,2020-05-27T13:10:00+1200
upsert,2020_8006_JR_ST6000207,A,ST6000207,9006000207,1,8006,2020_8006_JR,2020-05-25,2020-05-27T13:10:15+1200,2020-05-27T13:10:15+1200
upsert,2020_8006_JR_ST6100215,A,ST6100215,9006100215,1,8006,2020_8006_JR,2020-05-26,2020-05-27T13:10:30+1200,2020-05-27T13:10:30+1200
upsert,2020_8006_JR_ST6000222,A,ST6000222,9006000222,1,8006,2020_8006_JR,2020-05-27,2020-05-27T13:10:45+1200,2020-05-27T13:10:45+1200
upsert,2020_8006_JR_ST6000235,A,ST6000235,9006000235,1,8006,2020_8006_JR,2020-05-28,2020-05-27T13:11:00+1200,2020-05-27T13:11:00+1200
upsert,2020_8006_JR_ST6000248,A,ST6000248,9006000248,1,8006,2020_8006_JR,2020-05-29,2020-05-27T13:11:14+1200,2020-05-27T13:11:14+1200
upsert,2020_8006_HR6_ST6000250,A,ST6000250,9006000250,6,8006,2020_8006_HR6,2020-05-30,2020-05-27T13:11:30+1200,2020-05-27T13:11:30+1200
upsert,2020_8006_HR6_ST6000263,A,ST6000263,9006000263,6,8006,2020_8006_HR6,2020-05-31,2020-05-27T13:11:45+1200,2020-05-27T13:11:45+1200
upsert,2020_8006_HR6_ST6000276,A,ST6000276,9006000276,6,8006,2020_8006_HR6,2020-06-01,2020-05-27T13:12:00+1200,2020-05-27T13:12:00+1200
upsert,2020_8006_HR6_ST6000289,A,ST6000289,9006000289,6,8006,2020_8006_HR6,2020-06-02,2020-05-27T13:12:15+1200,2020-05-27T13:12:15+1200
upsert,2020_8006_HR4_HR5_ST6000291,A,ST6000291,9006000291,5,8006,2020_8006_HR4_HR5,2020-06-03,2020-05-27T13:12:30+1200,2020-05-27T13:12:30+1200
upsert,2020_8006_HR4_HR5_ST6000301,A,ST6000301,9006000301,5,8006,2020_8006_HR4_HR5,2020-06-04,2020-05-27T13:12:44+1200,2020-05-27T13:12:44+1200
upsert,2020_8006_HR4_HR5_ST6000314,A,ST6000314,9006000314,5,8006,2020_8006_HR4_HR5,2020-06-05,2020-05-27T13:13:00+1200,2020-05-27T13:13:00+1200
upsert,2020_8006_HR4_HR5_ST6000327,A,ST6000327,9006000327,5,8006,2020_8006_HR4_HR5,2020-06-06,2020-05-27T13:13:15+1200,2020-05-27T13:13:15+1200
upsert,2020_8006_HR4_HR5_ST6100335,A,ST6100335,9006100335,5,8006,2020_8006_HR4_HR5,2020-06-07,2020-05-27T13:13:30+1200,2020-05-27T13:13:30+1200
upsert,2020_8006_HR4_HR5_ST6000342,A,ST6000342,9006000342,4,8006,2020_8006_HR4_HR5,2020-06-08,2020-05-27T13:13:45+1200,2020-05-27T13:13:45+1200
upsert,2020_8006_HR4_HR5_ST6000355,A,ST6000355,9006000355,4,8006,2020_8006_HR4_HR5,2020-06-09,2020-05-27T13:14:00+1200,2020-05-27T13:14:00+1200
upsert,2020_8006_HR4_HR5_ST6000368,A,ST6000368,9006000368,4,8006,2020_8006_HR4_HR5,2020-06-10,2020-05-27T13:14:15+1200,2020-05-27T13:14:15+1200
upsert,2020_8006_HR4_HR5_ST6000370,A,ST6000370,9006000370,4,8006,2020_8006_HR4_HR5,2020-06-11,2020-05-27T13:14:30+1200,2020-05-27T13:14:30+1200
upsert,2020_8006_HR3_ST6000383,A,ST6000383,9006000383,3,8006,2020_8006_HR3,2020-06-12,2020-05-27T13:14:45+1200,2020-05-27T13:14:45+1200
upsert,2020_8006_HR3_ST6000396,A,ST6000396,9006000396,3,8006,2020_8006_HR3,2020-06-13,2020-05-27T13:15:00+1200,2020-05-27T13:15:00+1200
upsert,2020_8006_HR3_ST6000406,A,ST6000406,9006000406,3,8006,2020_8006_HR3,2020-06-14,2020-05-27T13:15:14+1200,2020-05-27T13:15:14+1200
upsert,2020_8006_JR_ST6000419,A,ST6000419,9006000419,2,8006,2020_8006_JR,2020-06-15,2020-05-27T13:15:30+1200,2020-05-27T13:15:30+1200
upsert,2020_8006_JR_ST6000421,A,ST6000421,9006000421,2,8006,2020_8006_JR,2020-06-16,2020-05-27T13:15:45+1200,2020-05-27T13:15:45+1200
upsert,2020_8006_JR_ST6000434,A,ST6000434,9006000434,2,8006,2020_8006_JR,2020-06-17,2020-05-27T13:16:00+1200,2020-05-27T13:16:00+1200
upsert,2020_8006_JR_ST6000447,A,ST6000447,9006000447,2,8006,2020_8006_JR,2020-06-18,2020-05-27T13:16:15+1200,2020-05-27T13:16:15+1200
upsert,2020_8006_JR_ST6100455,A,ST6100455,9006100455,2,8006,2020_8006_JR,2020-06-19,2020-05-27T13:16:30+1200,2020-05-27T13:16:30+1200
upsert,2020_8006_JR_ST6000462,A,ST6000462,9006000462,2,8006,2020_8006_JR,2020-06-20,2020-05-27T13:16:45+1200,2020-05-27T13:16:45+1200
upsert,2020_8006_JR_ST6000475,A,ST6000475,9006000475,1,8006,2020_8006_JR,2020-06-21,2020-05-27T13:17:00+1200,2020-05-27T13:17:00+1200
upsert,2020_8006_JR_ST6000488,A,ST6000488,9006000488,1,8006,2020_8006_JR,2020-06-22,2020-05-27T13:17:15+1200,2020-05-27T13:17:15+1200
upsert,2020_8006_JR_ST6000490,A,ST6000490,9006000490,1,8006,2020_8006_JR,2020-06-23,2020-05-27T13:17:30+1200,2020-05-27T13:17:30+1200
upsert,2020_8006_HR6_ST6000500,A,ST6000500,9006000500,6,8006,2020_8006_HR6,2020-06-24,2020-05-27T13:17:45+1200,2020-05-27T13:17:45+1200
upsert,2020_8006_HR6_ST6000513,A,ST6000513,9006000513,6,8006,2020_8006_HR6,2020-06-25,2020-05-27T13:18:00+1200,2020-05-27T13:18:00+1200
upsert,2020_8006_HR6_ST6000526,A,ST6000526,9006000526,6,8006,2020_8006_HR6,2020-06-26,2020-05-27T13:18:15+1200,2020-05-27T13:18:15+1200
upsert,2020_8006_HR6_ST6000539,A,ST6000539,9006000539,6,8006,2020_8006_HR6,2020-06-27,2020-05-27T13:18:30+1200,2020-05-27T13:18:30+1200
upsert,2020_8006_HR6_ST6000541,A,ST6000541,9006000541,6,8006,2020_8006_HR6,2020-06-28,2020-05-27T13:18:45+1200,2020-05-27T13:18:45+1200
upsert,2020_8006_HR6_ST6000554,A,ST6000554,9006000554,6,8006,2020_8006_HR6,2020-06-29,2020-05-27T13:19:00+1200,2020-05-27T13:19:00+1200
upsert,2020_8006_HR6_ST6000567,A,ST6000567,9006000567,6,8006,2020_8006_HR6,2020-06-30,2020-05-27T13:19:15+1200,2020-05-27T13:19:15+1200
