_op,StudentTeachingGroupEnrolmentLocalId,Student.LocalId,Student.NationalStudentNumber,Student.YearLevel,Organisation.RefId,TeachingGroup.LocalId,StartDate
upsert,2020_8005_HR4_ST5000677,ST5000677,9005000677,4,8005,2020_8005_HR4,2020-04-03T00:00:00+12:00
upsert,2020_8005_HR3_ST5100685,ST5100685,9005100685,3,8005,2020_8005_HR3,2020-04-04T00:00:00+12:00
upsert,2020_8005_HR3_ST5000692,ST5000692,9005000692,3,8005,2020_8005_HR3,2020-04-05T00:00:00+12:00
upsert,2020_8005_JR_ST5000702,ST5000702,9005000702,2,8005,2020_8005_JR,2020-04-06T00:00:00+12:00
upsert,2020_8005_JR_ST5000715,ST5000715,9005000715,2,8005,2020_8005_JR,2020-04-07T00:00:00+12:00
upsert,2020_8005_JR_ST5000728,ST5000728,9005000728,1,8005,2020_8005_JR,2020-04-08T00:00:00+12:00
upsert,2020_8005_JR_ST5000730,ST5000730,9005000730,1,8005,2020_8005_JR,2020-04-09T00:00:00+12:00
upsert,2020_8005_JR_ST5000743,ST5000743,9005000743,1,8005,2020_8005_JR,2020-04-10T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000756,ST5000756,9005000756,8,8005,2020_8005_HR7_HR8,2020-04-11T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000769,ST5000769,9005000769,8,8005,2020_8005_HR7_HR8,2020-04-12T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000771,ST5000771,9005000771,7,8005,2020_8005_HR7_HR8,2020-04-13T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000784,ST5000784,9005000784,7,8005,2020_8005_HR7_HR8,2020-04-14T00:00:00+12:00
upsert,2020_8005_HR6_ST5000797,ST5000797,9005000797,6,8005,2020_8005_HR6,2020-04-15T00:00:00+12:00
upsert,2020_8005_HR6_ST5000807,ST5000807,9005000807,6,8005,2020_8005_HR6,2020-04-16T00:00:00+12:00
upsert,2020_8005_HR6_ST5100815,ST5100815,9005100815,6,8005,2020_8005_HR6,2020-04-17T00:00:00+12:00
upsert,2020_8005_HR5_ST5000822,ST5000822,9005000822,5,8005,2020_8005_HR5,2020-04-18T00:00:00+12:00
upsert,2020_8005_HR5_ST5000835,ST5000835,9005000835,5,8005,2020_8005_HR5,2020-04-19T00:00:00+12:00
upsert,2020_8005_HR4_ST5000848,ST5000848,9005000848,4,8005,2020_8005_HR4,2020-04-20T00:00:00+12:00
upsert,2020_8005_HR4_ST5000850,ST5000850,9005000850,4,8005,2020_8005_HR4,2020-04-21T00:00:00+12:00
upsert,2020_8005_HR4_ST5000863,ST5000863,9005000863,4,8005,2020_8005_HR4,2020-04-22T00:00:00+12:00
upsert,2020_8005_HR4_ST5000876,ST5000876,9005000876,4,8005,2020_8005_HR4,2020-04-23T00:00:00+12:00
upsert,2020_8005_HR4_ST5000889,ST5000889,9005000889,4,8005,2020_8005_HR4,2020-04-24T00:00:00+12:00
upsert,2020_8005_HR3_ST5000891,ST5000891,9005000891,3,8005,2020_8005_HR3,2020-04-25T00:00:00+12:00
upsert,2020_8005_HR3_ST5000901,ST5000901,9005000901,3,8005,2020_8005_HR3,2020-04-26T00:00:00+12:00
upsert,2020_8005_HR3_ST5000914,ST5000914,9005000914,3,8005,2020_8005_HR3,2020-04-27T00:00:00+12:00
upsert,2020_8005_JR_ST5000927,ST5000927,9005000927,2,8005,2020_8005_JR,2020-04-28T00:00:00+12:00
upsert,2020_8005_JR_ST5100935,ST5100935,9005100935,2,8005,2020_8005_JR,2020-04-29T00:00:00+12:00
upsert,2020_8005_JR_ST5000942,ST5000942,9005000942,2,8005,2020_8005_JR,2020-04-30T00:00:00+12:00
upsert,2020_8005_JR_ST5000955,ST5000955,9005000955,1,8005,2020_8005_JR,2020-05-01T00:00:00+12:00
upsert,2020_8005_JR_ST5000968,ST5000968,9005000968,1,8005,2020_8005_JR,2020-05-02T00:00:00+12:00
upsert,2020_8005_JR_ST5000970,ST5000970,9005000970,1,8005,2020_8005_JR,2020-05-03T00:00:00+12:00
upsert,2020_8005_JR_ST5000983,ST5000983,9005000983,1,8005,2020_8005_JR,2020-05-04T00:00:00+12:00
upsert,2020_8006_HR6_ST6000008,ST6000008,9006000008,6,8006,2020_8006_HR6,2020-05-05T00:00:00+12:00
upsert,2020_8006_HR6_ST6000010,ST6000010,9006000010,6,8006,2020_8006_HR6,2020-05-06T00:00:00+12:00
upsert,2020_8006_HR6_ST6000023,ST6000023,9006000023,6,8006,2020_8006_HR6,2020-05-07T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000036,ST6000036,9006000036,5,8006,2020_8006_HR4_HR5,2020-05-08T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000049,ST6000049,9006000049,5,8006,2020_8006_HR4_HR5,2020-05-09T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000051,ST6000051,9006000051,4,8006,2020_8006_HR4_HR5,2020-05-10T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000064,ST6000064,9006000064,4,8006,2020_8006_HR4_HR5,2020-05-11T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000077,ST6000077,9006000077,4,8006,2020_8006_HR4_HR5,2020-05-12T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6100085,ST6100085,9006100085,4,8006,2020_8006_HR4_HR5,2020-05-13T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000092,ST6000092,9006000092,4,8006,2020_8006_HR4_HR5,2020-05-14T00:00:00+12:00
upsert,2020_8006_HR3_ST6000102,ST6000102,9006000102,3,8006,2020_8006_HR3,2020-05-15T00:00:00+12:00
upsert,2020_8006_HR3_ST6000115,ST6000115,9006000115,3,8006,2020_8006_HR3,2020-05-16T00:00:00+12:00
upsert,2020_8006_HR3_ST6000128,ST6000128,9006000128,3,8006,2020_8006_HR3,2020-05-17T00:00:00+12:00
upsert,2020_8006_HR3_ST6000130,ST6000130,9006000130,3,8006,2020_8006_HR3,2020-05-18T00:00:00+12:00
upsert,2020_8006_HR3_ST6000143,ST6000143,9006000143,3,8006,2020_8006_HR3,2020-05-19T00:00:00+12:00
upsert,2020_8006_HR3_ST6000156,ST6000156,9006000156,3,8006,2020_8006_HR3,2020-05-20T00:00:00+12:00
upsert,2020_8006_JR_ST6000169,ST6000169,9006000169,2,8006,2020_8006_JR,2020-05-21T00:00:00+12:00
upsert,2020_8006_JR_ST6000171,ST6000171,9006000171,2,8006,2020_8006_JR,2020-05-22T00:00:00+12:00
upsert,2020_8006_JR_ST6000184,ST6000184,9006000184,2,8006,2020_8006_JR,2020-05-23T00:00:00+12:00
upsert,2020_8006_JR_ST6000197,ST6000197,9006000197,2,8006,2020_8006_JR,2020-05-24T00:00:00+12:00
upsert,2020_8006_JR_ST6000207,ST6000207,9006000207,1,8006,2020_8006_JR,2020-05-25T00:00:00+12:00
upsert,2020_8006_JR_ST6100215,ST6100215,9006100215,1,8006,2020_8006_JR,2020-05-26T00:00:00+12:00
upsert,2020_8006_JR_ST6000222,ST6000222,9006000222,1,8006,2020_8006_JR,2020-05-27T00:00:00+12:00
upsert,2020_8006_JR_ST6000235,ST6000235,9006000235,1,8006,2020_8006_JR,2020-05-28T00:00:00+12:00
upsert,2020_8006_JR_ST6000248,ST6000248,9006000248,1,8006,2020_8006_JR,2020-05-29T00:00:00+12:00
upsert,2020_8006_HR6_ST6000250,ST6000250,9006000250,6,8006,2020_8006_HR6,2020-05-30T00:00:00+12:00
upsert,2020_8006_HR6_ST6000263,ST6000263,9006000263,6,8006,2020_8006_HR6,2020-05-31T00:00:00+12:00
upsert,2020_8006_HR6_ST6000276,ST6000276,9006000276,6,8006,2020_8006_HR6,2020-06-01T00:00:00+12:00
upsert,2020_8006_HR6_ST6000289,ST6000289,9006000289,6,8006,2020_8006_HR6,2020-06-02T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000291,ST6000291,9006000291,5,8006,2020_8006_HR4_HR5,2020-06-03T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000301,ST6000301,9006000301,5,8006,2020_8006_HR4_HR5,2020-06-04T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000314,ST6000314,9006000314,5,8006,2020_8006_HR4_HR5,2020-06-05T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000327,ST6000327,9006000327,5,8006,2020_8006_HR4_HR5,2020-06-06T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6100335,ST6100335,9006100335,5,8006,2020_8006_HR4_HR5,2020-06-07T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000342,ST6000342,9006000342,4,8006,2020_8006_HR4_HR5,2020-06-08T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000355,ST6000355,9006000355,4,8006,2020_8006_HR4_HR5,2020-06-09T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000368,ST6000368,9006000368,4,8006,2020_8006_HR4_HR5,2020-06-10T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000370,ST6000370,9006000370,4,8006,2020_8006_HR4_HR5,2020-06-11T00:00:00+12:00
upsert,2020_8006_HR3_ST6000383,ST6000383,9006000383,3,8006,2020_8006_HR3,2020-06-12T00:00:00+12:00
upsert,2020_8006_HR3_ST6000396,ST6000396,9006000396,3,8006,2020_8006_HR3,2020-06-13T00:00:00+12:00
upsert,2020_8006_HR3_ST6000406,ST6000406,9006000406,3,8006,2020_8006_HR3,2020-06-14T00:00:00+12:00
upsert,2020_8006_JR_ST6000419,ST6000419,9006000419,2,8006,2020_8006_JR,2020-06-15T00:00:00+12:00
upsert,2020_8006_JR_ST6000421,ST6000421,9006000421,2,8006,2020_8006_JR,2020-06-16T00:00:00+12:00
upsert,2020_8006_JR_ST6000434,ST6000434,9006000434,2,8006,2020_8006_JR,2020-06-17T00:00:00+12:00
upsert,2020_8006_JR_ST6000447,ST6000447,9006000447,2,8006,2020_8006_JR,2020-06-18T00:00:00+12:00
upsert,2020_8006_JR_ST6100455,ST6100455,9006100455,2,8006,2020_8006_JR,2020-06-19T00:00:00+12:00
upsert,2020_8006_JR_ST6000462,ST6000462,9006000462,2,8006,2020_8006_JR,2020-06-20T00:00:00+12:00
upsert,2020_8006_JR_ST6000475,ST6000475,9006000475,1,8006,2020_8006_JR,2020-06-21T00:00:00+12:00
upsert,2020_8006_JR_ST6000488,ST6000488,9006000488,1,8006,2020_8006_JR,2020-06-22T00:00:00+12:00
upsert,2020_8006_JR_ST6000490,ST6000490,9006000490,1,8006,2020_8006_JR,2020-06-23T00:00:00+12:00
upsert,2020_8006_HR6_ST6000500,ST6000500,9006000500,6,8006,2020_8006_HR6,2020-06-24T00:00:00+12:00
upsert,2020_8006_HR6_ST6000513,ST6000513,9006000513,6,8006,2020_8006_HR6,2020-06-25T00:00:00+12:00
upsert,2020_8006_HR6_ST6000526,ST6000526,9006000526,6,8006,2020_8006_HR6,2020-06-26T00:00:00+12:00
upsert,2020_8006_HR6_ST6000539,ST6000539,9006000539,6,8006,2020_8006_HR6,2020-06-27T00:00:00+12:00
upsert,2020_8006_HR6_ST6000541,ST6000541,9006000541,6,8006,2020_8006_HR6,2020-06-28T00:00:00+12:00
upsert,2020_8006_HR6_ST6000554,ST6000554,9006000554,6,8006,2020_8006_HR6,2020-06-29T00:00:00+12:00
upsert,2020_8006_HR6_ST6000567,ST6000567,9006000567,6,8006,2020_8006_HR6,2020-06-30T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6100575,ST6100575,9006100575,5,8006,2020_8006_HR4_HR5,2020-07-01T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000582,ST6000582,9006000582,5,8006,2020_8006_HR4_HR5,2020-07-02T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000595,ST6000595,9006000595,5,8006,2020_8006_HR4_HR5,2020-07-03T00:00:00+12:00
upsert,2020_8006_HR3_ST6000605,ST6000605,9006000605,3,8006,2020_8006_HR3,2020-07-04T00:00:00+12:00
upsert,2020_8006_HR3_ST6000618,ST6000618,9006000618,3,8006,2020_8006_HR3,2020-07-05T00:00:00+12:00
upsert,2020_8006_HR3_ST6000620,ST6000620,9006000620,3,8006,2020_8006_HR3,2020-07-06T00:00:00+12:00
upsert,2020_8006_HR3_ST6000633,ST6000633,9006000633,3,8006,2020_8006_HR3,2020-07-07T00:00:00+12:00
upsert,2020_8006_JR_ST6000646,ST6000646,9006000646,2,8006,2020_8006_JR,2020-07-08T00:00:00+12:00
upsert,2020_8006_JR_ST6000659,ST6000659,9006000659,2,8006,2020_8006_JR,2020-07-09T00:00:00+12:00
upsert,2020_8006_JR_ST6000661,ST6000661,9006000661,2,8006,2020_8006_JR,2020-07-10T00:00:00+12:00
upsert,2020_8006_JR_ST6000674,ST6000674,9006000674,2,8006,2020_8006_JR,2020-07-11T00:00:00+12:00
upsert,2020_8006_JR_ST6000687,ST6000687,9006000687,2,8006,2020_8006_JR,2020-07-12T00:00:00+12:00
upsert,2020_8006_JR_ST6100695,ST6100695,9006100695,2,8006,2020_8006_JR,2020-07-13T00:00:00+12:00
upsert,2020_8006_JR_ST6100705,ST6100705,9006100705,1,8006,2020_8006_JR,2020-07-14T00:00:00+12:00
upsert,2020_8006_JR_ST6000712,ST6000712,9006000712,1,8006,2020_8006_JR,2020-07-15T00:00:00+12:00
upsert,2020_8006_JR_ST6000725,ST6000725,9006000725,1,8006,2020_8006_JR,2020-07-16T00:00:00+12:00
upsert,2020_8006_JR_ST6000738,ST6000738,9006000738,1,8006,2020_8006_JR,2020-07-17T00:00:00+12:00
upsert,2020_8006_JR_ST6000740,ST6000740,9006000740,1,8006,2020_8006_JR,2020-07-18T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000753,ST6000753,9006000753,4,8006,2020_8006_HR4_HR5,2020-07-19T00:00:00+12:00
upsert,2020_8006_HR4_HR5_ST6000766,ST6000766,9006000766,4,8006,2020_8006_HR4_HR5,2020-07-20T00:00:00+12:00
upsert,2020_8006_HR3_ST6000779,ST6000779,9006000779,3,8006,2020_8006_HR3,2020-07-21T00:00:00+12:00
upsert,2020_8006_HR3_ST6000781,ST6000781,9006000781,3,8006,2020_8006_HR3,2020-07-22T00:00:00+12:00
upsert,2020_8006_JR_ST6000794,ST6000794,9006000794,2,8006,2020_8006_JR,2020-07-23T00:00:00+12:00
upsert,2020_8006_JR_ST6000804,ST6000804,9006000804,2,8006,2020_8006_JR,2020-07-24T00:00:00+12:00
upsert,2020_8006_JR_ST6000817,ST6000817,9006000817,2,8006,2020_8006_JR,2020-07-25T00:00:00+12:00
upsert,2020_8006_JR_ST6100825,ST6100825,9006100825,2,8006,2020_8006_JR,2020-07-26T00:00:00+12:00
upsert,2020_8006_JR_ST6000832,ST6000832,9006000832,2,8006,2020_8006_JR,2020-07-27T00:00:00+12:00
upsert,2020_8006_JR_ST6000845,ST6000845,9006000845,2,8006,2020_8006_JR,2020-07-28T00:00:00+12:00
upsert,2020_8006_JR_ST6000858,ST6000858,9006000858,1,8006,2020_8006_JR,2020-07-29T00:00:00+12:00
upsert,2020_8006_JR_ST6000860,ST6000860,9006000860,1,8006,2020_8006_JR,2020-07-30T00:00:00+12:00
upsert,2020_8006_JR_ST6000873,ST6000873,9006000873,1,8006,2020_8006_JR,2020-07-31T00:00:00+12:00
upsert,2020_8007_HR12_HR13_ST7000005,ST7000005,9007000005,13,8007,2020_8007_HR12_HR13,2020-08-01T00:00:00+12:00
upsert,2020_8007_HR12_HR13_ST7000018,ST7000018,9007000018,13,8007,2020_8007_HR12_HR13,2020-08-02T00:00:00+12:00
upsert,2020_8007_HR12_HR13_ST7000020,ST7000020,9007000020,13,8007,2020_8007_HR12_HR13,2020-08-03T00:00:00+12:00
upsert,2020_8007_HR12_HR13_ST7000033,ST7000033,9007000033,13,8007,2020_8007_HR12_HR13,2020-08-04T00:00:00+12:00
upsert,2020_8007_HR12_HR13_ST7000046,ST7000046,9007000046,12,8007,2020_8007_HR12_HR13,2020-08-05T00:00:00+12:00
upsert,2020_8007_HR12_HR13_ST7000059,ST7000059,9007000059,12,8007,2020_8007_HR12_HR13,2020-08-06T00:00:00+12:00
upsert,2020_8007_HR12_HR13_ST7000061,ST7000061,9007000061,12,8007,2020_8007_HR12_HR13,2020-08-07T00:00:00+12:00
upsert,2020_8007_HR11_ST7000074,ST7000074,9007000074,11,8007,2020_8007_HR11,2020-08-08T00:00:00+12:00
upsert,2020_8007_HR11_ST7000087,ST7000087,9007000087,11,8007,2020_8007_HR11,2020-08-09T00:00:00+12:00
upsert,2020_8007_HR11_ST7100095,ST7100095,9007100095,11,8007,2020_8007_HR11,2020-08-10T00:00:00+12:00
upsert,2020_8007_HR11_ST7100105,ST7100105,9007100105,11,8007,2020_8007_HR11,2020-08-11T00:00:00+12:00
upsert,2020_8007_HR10_ST7000112,ST7000112,9007000112,10,8007,2020_8007_HR10,2020-08-12T00:00:00+12:00
upsert,2020_8007_HR10_ST7000125,ST7000125,9007000125,10,8007,2020_8007_HR10,2020-08-13T00:00:00+12:00
upsert,2020_8007_HR10_ST7000138,ST7000138,9007000138,10,8007,2020_8007_HR10,2020-08-14T00:00:00+12:00
upsert,2020_8007_HR10_ST7000140,ST7000140,9007000140,10,8007,2020_8007_HR10,2020-08-15T00:00:00+12:00
upsert,2020_8007_HR10_ST7000153,ST7000153,9007000153,10,8007,2020_8007_HR10,2020-08-16T00:00:00+12:00
upsert,2020_8007_HR10_ST7000166,ST7000166,9007000166,10,8007,2020_8007_HR10,2020-08-17T00:00:00+12:00
upsert,2020_8007_HR9_ST7000179,ST7000179,9007000179,9,8007,2020_8007_HR9,2020-08-18T00:00:00+12:00
upsert,2020_8007_HR9_ST7000181,ST7000181,9007000181,9,8007,2020_8007_HR9,2020-08-19T00:00:00+12:00
upsert,2020_8007_HR9_ST7000194,ST7000194,9007000194,9,8007,2020_8007_HR9,2020-08-20T00:00:00+12:00
upsert,2020_8007_HR9_ST7000204,ST7000204,9007000204,9,8007,2020_8007_HR9,2020-08-21T00:00:00+12:00
upsert,2020_8007_HR9_ST7000217,ST7000217,9007000217,9,8007,2020_8007_HR9,2020-08-22T00:00:00+12:00
upsert,2020_8007_HR9_ST7100225,ST7100225,9007100225,9,8007,2020_8007_HR9,2020-08-23T00:00:00+12:00
upsert,2020_8007_HR9_ST7000232,ST7000232,9007000232,9,8007,2020_8007_HR9,2020-08-24T00:00:00+12:00
upsert,2020_8007_HR9_ST7000245,ST7000245,9007000245,9,8007,2020_8007_HR9,2020-08-25T00:00:00+12:00
upsert,2020_8007_HR12_HR13_ST7000258,ST7000258,9007000258,13,8007,2020_8007_HR12_HR13,2020-08-26T00:00:00+12:00
upsert,2020_8007_HR12_HR13_ST7000260,ST7000260,9007000260,13,8007,2020_8007_HR12_HR13,2020-08-27T00:00:00+12:00
upsert,2020_8007_HR12_HR13_ST7000273,ST7000273,9007000273,13,8007,2020_8007_HR12_HR13,2020-08-28T00:00:00+12:00
